carrier_code,flight_date,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_minutes,actual_elapsed_minutes,departure_delay_minutes,wheels_off_time,taxi_out_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,is_cancelled
AA,2024-06-11,2421.0,N324SH,MIA,SJU,12:19,17:36,170.0,171.0,317.0,18:10,34.0,0.0,317.0,1.0,0.0,0.0,0
AA,2022-12-08,1454.0,N762AN,MIA,LAX,15:30,15:30,342.0,316.0,0.0,15:46,16.0,0.0,0.0,0.0,0.0,0.0,0
AA,2022-01-21,2289.0,N778AN,MIA,LAX,19:42,19:44,352.0,341.0,2.0,19:58,14.0,0.0,0.0,0.0,0.0,0.0,0
AA,2026-01-18,2886.0,N969NN,MIA,JAX,15:44,15:43,86.0,83.0,-1.0,16:06,23.0,0.0,0.0,0.0,0.0,0.0,0
AA,2024-09-20,1017.0,N3014R,MIA,AUS,15:40,15:38,180.0,180.0,-2.0,16:03,25.0,0.0,0.0,0.0,0.0,0.0,0
AA,2025-09-14,457.0,N343SY,MIA,PHX,19:59,20:36,299.0,280.0,37.0,20:50,14.0,8.0,0.0,0.0,0.0,10.0,0
AA,2024-04-22,1113.0,N865NN,MIA,EWR,18:55,22:40,184.0,175.0,225.0,23:02,22.0,0.0,18.0,0.0,0.0,198.0,0
AA,2025-11-30,1663.0,N162UW,MIA,LAX,06:15,06:11,349.0,377.0,-4.0,06:28,17.0,0.0,0.0,24.0,0.0,0.0,0
AA,2024-08-27,1397.0,N829AW,MIA,MCI,21:26,21:48,207.0,203.0,22.0,22:22,34.0,0.0,0.0,0.0,0.0,18.0,0
AA,2023-11-22,669.0,N428AA,MIA,LAX,21:03,22:21,355.0,332.0,78.0,22:39,18.0,13.0,0.0,0.0,0.0,42.0,0
AA,2024-09-26,2436.0,N344TS,MIA,LAX,19:35,19:52,335.0,378.0,17.0,20:54,62.0,17.0,0.0,43.0,0.0,0.0,0
AA,2022-06-01,1922.0,N341SV,MIA,JFK,19:33,21:20,182.0,0.0,107.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,1
